Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\PerformanceRunner\PerformanceRunner.csproj,File,tests\PerformanceRunner\PerformanceRunner.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\TestRunner\TestRunner.csproj,File,tests\TestRunner\TestRunner.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\VertexBPMN.Api\VertexBPMN.Api.csproj,File,src\VertexBPMN.Api\VertexBPMN.Api.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.9,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.9  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\VertexBPMN.Api\VertexBPMN.Api.csproj,File,src\VertexBPMN.Api\VertexBPMN.Api.csproj,,,Microsoft.EntityFrameworkCore.InMemory 9.0.9,,,,,"Microsoft.EntityFrameworkCore.InMemory, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore.InMemory, and replace with new package Microsoft.EntityFrameworkCore.InMemory 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\VertexBPMN.Api\VertexBPMN.Api.csproj,File,src\VertexBPMN.Api\VertexBPMN.Api.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 9.0.9,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\VertexBPMN.Api\VertexBPMN.Api.csproj,File,src\VertexBPMN.Api\VertexBPMN.Api.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.9,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\VertexBPMN.Api\VertexBPMN.Api.csproj,File,src\VertexBPMN.Api\VertexBPMN.Api.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 9.0.9,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 9.0.9  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\VertexBPMN.Api\VertexBPMN.Api.csproj,File,src\VertexBPMN.Api\VertexBPMN.Api.csproj,,,System.Diagnostics.PerformanceCounter 9.0.9,,,,,"System.Diagnostics.PerformanceCounter, 9.0.9  Recommendation:  Remove System.Diagnostics.PerformanceCounter, and replace with new package System.Diagnostics.PerformanceCounter 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\VertexBPMN.Api\VertexBPMN.Api.csproj,File,src\VertexBPMN.Api\VertexBPMN.Api.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\VertexBPMN.Api\VertexBPMN.Api.csproj,File,src\VertexBPMN.Api\obj\Debug\net9.0\Protos\VertexbpmnMcp.cs,24,6,M:System.String.Concat(System.ReadOnlySpan{System.String}),,,,,"byte[] descriptorData = global::System.Convert.FromBase64String(           string.Concat(             ""ChtQcm90b3MvdmVydGV4YnBtbl9tY3AucHJvdG8SEXZlcnRleGJwbW4ubWNw"",             ""LnYxIiUKEkV4ZWN1dGVDYXNlUmVxdWVzdBIPCgdjYXNlX2lkGAEgASgJIiQK"",             ""E0V4ZWN1dGVDYXNlUmVzcG9uc2USDQoFdHJhY2UYASADKAkitQEKE1RyaWdn"",             ""ZXJFdmVudFJlcXVlc3QSDwoHY2FzZV9pZBgBIAEoCRIQCghldmVudF9pZBgC"",             ""IAEoCRJJCgpldmVudF9kYXRhGAMgAygLMjUudmVydGV4YnBtbi5tY3AudjEu"",             ""VHJpZ2dlckV2ZW50UmVxdWVzdC5FdmVudERhdGFFbnRyeRowCg5FdmVudERh"",             ""dGFFbnRyeRILCgNrZXkYASABKAkSDQoFdmFsdWUYAiABKAk6AjgBIlYKFUNh"",             ""c2VGaWxlVXBkYXRlUmVxdWVzdBIPCgdjYXNlX2lkGAEgASgJEhkKEWNhc2Vf"",             ""ZmlsZV9pdGVtX2lkGAIgASgJEhEKCW5ld192YWx1ZRgDIAEoCSIxCh5HZW5l"",             ""cmF0ZUFkSG9jU3VicHJvY2Vzc1JlcXVlc3QSDwoHY2FzZV9pZBgBIAEoCSIr"",             ""ChhIaXN0b3JpY2FsQ29udGV4dFJlcXVlc3QSDwoHY2FzZV9pZBgBIAEoCSJb"",             ""ChlIaXN0b3JpY2FsQ29udGV4dFJlc3BvbnNlEj4KD2hpc3RvcmljYWxfZGF0"",             ""YRgBIAMoCzIlLnZlcnRleGJwbW4ubWNwLnYxLkhpc3RvcmljYWxDYXNlRGF0"",             ""YSLPAQoSSGlzdG9yaWNhbENhc2VEYXRhEg8KB2Nhc2VfaWQYASABKAkSRgoJ"",             ""Y2FzZV9maWxlGAIgAygLMjMudmVydGV4YnBtbi5tY3AudjEuSGlzdG9yaWNh"",             ""bENhc2VEYXRhLkNhc2VGaWxlRW50cnkSHAoUY29tcGxldGVkX3BsYW5faXRl"",             ""bXMYAyADKAkSEQoJdGltZXN0YW1wGAQgASgJGi8KDUNhc2VGaWxlRW50cnkS"",             ""CwoDa2V5GAEgASgJEg0KBXZhbHVlGAIgASgJOgI4ASIfCgxDbW1uUmVzcG9u"",             ""c2USDwoHbWVzc2FnZRgBIAEoCTKUBAoUVmVydGV4QlBNTk1DUFNlcnZpY2US"",             ""XAoLRXhlY3V0ZUNhc2USJS52ZXJ0ZXhicG1uLm1jcC52MS5FeGVjdXRlQ2Fz"",             ""ZVJlcXVlc3QaJi52ZXJ0ZXhicG1uLm1jcC52MS5FeGVjdXRlQ2FzZVJlc3Bv"",             ""bnNlElsKEFRyaWdnZXJVc2VyRXZlbnQSJi52ZXJ0ZXhicG1uLm1jcC52MS5U"",             ""cmlnZ2VyRXZlbnRSZXF1ZXN0Gh8udmVydGV4YnBtbi5tY3AudjEuQ21tblJl"",             ""c3BvbnNlEl8KElVwZGF0ZUNhc2VGaWxlSXRlbRIoLnZlcnRleGJwbW4ubWNw"",             ""LnYxLkNhc2VGaWxlVXBkYXRlUmVxdWVzdBofLnZlcnRleGJwbW4ubWNwLnYx"",             ""LkNtbW5SZXNwb25zZRJtChdHZW5lcmF0ZUFkSG9jU3VicHJvY2VzcxIxLnZl"",             ""cnRleGJwbW4ubWNwLnYxLkdlbmVyYXRlQWRIb2NTdWJwcm9jZXNzUmVxdWVz"",             ""dBofLnZlcnRleGJwbW4ubWNwLnYxLkNtbW5SZXNwb25zZRJxChRHZXRIaXN0"",             ""b3JpY2FsQ29udGV4dBIrLnZlcnRleGJwbW4ubWNwLnYxLkhpc3RvcmljYWxD"",             ""b250ZXh0UmVxdWVzdBosLnZlcnRleGJwbW4ubWNwLnYxLkhpc3RvcmljYWxD"",             ""b250ZXh0UmVzcG9uc2VCGqoCF1ZlcnRleEJQTU4uQXBpLkdycGMuTWNwYgZw"",             ""cm90bzM=""));"
